exercise,muscle group,muscles worked
Bench Press,Chest,"(chest, clavicular head, 25%), (chest, sternal head, 37.5%), (chest, abdominal head, 37.5%), (shoulder, anterior head, 50%), (tricep, lateral head, 25%)"
Incline Dumbbell Press,Chest,"(chest, clavicular head, 60%), (shoulder, anterior head, 30%), (tricep, lateral head, 10%)"
Decline Bench Press,Chest,"(chest, abdominal head, 50%), (tricep, lateral head, 30%), (shoulder, anterior head, 20%)"
Cable Crossover,Chest,"(chest, sternal head, 70%), (shoulder, anterior head, 20%), (biceps, short head, 10%)"
Push-Up,Chest,"(chest, sternal head, 60%), (tricep, lateral head, 25%), (shoulder, anterior head, 15%)"
Overhead Press,Shoulders,"(shoulder, anterior head, 50%), (tricep, long head, 30%), (trapezius, upper fibers, 20%)"
Lateral Raise,Shoulders,"(shoulder, lateral head, 80%), (trapezius, upper fibers, 20%)"
Front Raise,Shoulders,"(shoulder, anterior head, 70%), (trapezius, upper fibers, 20%), (biceps, short head, 10%)"
Rear Delt Fly,Shoulders,"(shoulder, posterior head, 60%), (trapezius, middle fibers, 30%), (rhomboids, 10%)"
Arnold Press,Shoulders,"(shoulder, anterior head, 40%), (shoulder, lateral head, 40%), (tricep, long head, 20%)"
Barbell Curl,Biceps,"(biceps, long head, 50%), (biceps, short head, 40%), (brachialis, 10%)"
Hammer Curl,Biceps,"(brachialis, 60%), (biceps, long head, 30%), (brachioradialis, 10%)"
Concentration Curl,Biceps,"(biceps, short head, 70%), (biceps, long head, 20%), (brachialis, 10%)"
Preacher Curl,Biceps,"(biceps, short head, 60%), (biceps, long head, 30%), (brachialis, 10%)"
Incline Dumbbell Curl,Biceps,"(biceps, long head, 70%), (biceps, short head, 20%), (brachialis, 10%)"
Tricep Pushdown,Triceps,"(tricep, lateral head, 50%), (tricep, long head, 30%), (tricep, medial head, 20%)"
Overhead Tricep Extension,Triceps,"(tricep, long head, 60%), (tricep, lateral head, 25%), (tricep, medial head, 15%)"
Skull Crushers,Triceps,"(tricep, long head, 50%), (tricep, lateral head, 30%), (tricep, medial head, 20%)"
Close-Grip Bench Press,Triceps,"(tricep, lateral head, 40%), (tricep, long head, 30%), (chest, sternal head, 30%)"
Dips,Triceps,"(tricep, long head, 50%), (chest, sternal head, 30%), (shoulder, anterior head, 20%)"
Squat,Legs,"(quadriceps, 50%), (glutes, 35%), (hamstrings, 15%), (calves, 10%)"
Leg Press,Legs,"(quadriceps, 60%), (glutes, 25%), (hamstrings, 15%)"
